volid,reviewed,obscure,pubdate,birthdate,gender,nation,allwords,logistic,author,title,pubname,actually,realclass
hvd.hnpeas,not,obscure,1833,1796,m,uk,22815,0.380426017271,"Markham, Alexander.",The avenged bride;,,random,0
njp.32101041423706,rev,known,1861,1788,m,uk,174463,0.549739293464,"Atherstone, Edwin,",Israel in Egypt,WR,reviewed,1
mdp.39015008296884,not,known,1918,1878,m,uk,14637,0.702441858075,"Thomas, Edward,",Last poems,,"Norton, in-set",0
loc.ark+=13960=t04x5sr13,rev,known,1912,1893,m,us,15011,0.669490029331,"Smith, Clark Ashton,",The star-treader,PMV,reviewed,1
uc2.ark+=13960=t5q81605q,not,obscure,1914,1875,f,us,10783,0.535800242933,"Morgan, Angela.",The hour has struck;,,random,0
uc2.ark+=13960=t3707xn1m,rev,known,1902,1873,m,us,11100,0.516703762543,"Carryl, Guy Wetmore,",Grimm tales made gay,ATL,reviewed,1
loc.ark+=13960=t3rv14c6x,not,obscure,1878,1837,m,us,20331,0.304742124455,"Murphy, John Albert,",Cosmostoria,,random,0
njp.32101067004570,rev,known,1862,1828,m,uk,26952,0.401470517146,"Wingate, David,",Poems and songs,BM,reviewed,1
mdp.39015063947074,not,obscure,1914,1855,m,us,4658,0.318158192242,"O'Hagan, Thomas,",In the heart of the meadow,,random,0
uc2.ark+=13960=fk57d2qj4c,rev,known,1910,1869,m,us,10290,0.590317598039,"Robinson, Edwin Arlington,",The town down the river,FR,"Norton, in-set",1
nyp.33433074866819,not,obscure,1869,1825,m,uk,94527,0.482680481784,"Bickersteth, Edward Henry,","Yesterday, to-day, and for ever",,random,0
nyp.33433066569025,not,obscure,1914,1864,m,us,4724,0.536588670658,"Scofield, William Bacon.",Verses,,random,0
nyp.33433066651120,not,obscure,1912,1871,m,us,13492,0.602432104041,"Lindsey, Frederick Brooks.",The spirit Prospero,,random,0
loc.ark+=13960=t8jd5j56r,not,obscure,1916,1871,m,us,20258,0.499622937159,"Keeler, Charles Augustus,",The victory: poems of triumph,,random,0
nyp.33433076040298,rev,known,1869,1842,m,us,26698,0.607986603842,"Abbey, Henry,",Stories in verse,ATL,reviewed,1
mdp.39015059422017,not,obscure,1894,1839,m,uk,24339,0.482364397132,"Japp, Alexander H.",Dramatic pictures,,random,0
uc2.ark+=13960=fk23b5wf3t,rev,known,1860,1826,f,uk,33742,0.62913527674,"Craik, Dinah Maria Mulock,",Poems,ATL,reviewed,1
uc1.b3546464,rev,known,1895,1867,m,uk,27582,0.605480450329,"Johnson, Lionel Pigot,",Poems,FR,reviewed,1
uc2.ark+=13960=t7pn9f10q,rev,known,1874,1803,m,uk,42215,0.565575177048,"Lytton, Edward Robert Bulwer Lytton,",Fables in song,FR,reviewed,1
uc2.ark+=13960=t7fq9w84p,not,obscure,1893,1811,m,uk,21964,0.583272661648,"Scott, William Bell,",A poet's harvest home,,random,0
uc1.b173242,rev,known,1825,1793,f,uk,35606,0.521772484847,"Hemans,",The forest sanctuary,ER,"Norton, in-set",1
mdp.39015063931839,rev,known,1912,1873,m,us,5906,0.630123403626,"How, Louis,",The youth replies,PMV,reviewed,1
uc2.ark+=13960=t9v121d4v,not,obscure,1869,0,,,15112,0.344940860114,"Ethelburga, O. S. B.","In coelo quies, and other poems",,random,0
loc.ark+=13960=t7qn6kz4k,not,obscure,1866,1839,m,us,9974,0.3927799586,"Crider, Henry M.,",Pedagogics,,random,0
mdp.39015063542537,rev,known,1873,1835,m,uk,14740,0.586623355082,"Austin, Alfred,",Madonna's child,FR,reviewed,1
nyp.33433074906813,not,obscure,1829,1783,m,uk,28191,0.361557080138,"Heber, Reginald,",Poems,,random,0
uc2.ark+=13960=t5h99f43z,rev,known,1834,1781,m,uk,28928,0.482856050108,"Elliott, Ebenezer,",[Elliott's poems],ER,reviewed,1
nyp.33433074802640,not,obscure,1897,1843,m,us,14570,0.504237856239,"Young, Claiborne Addison.",Way songs and wanderings,,random,0
hvd.32044020453569,not,obscure,1824,1781,m,us,10927,0.415301035986,"Pickering, Henry,",Athens,,random,0
mdp.39015065250162,rev,known,1905,1875,f,us,26207,0.634873536045,"Branch, Anna Hempstead,","The shoes that danced, and other poems",ATL,reviewed,1
nyp.33433066569447,not,obscure,1913,1886,m,us,4644,0.437621191292,"Seitz, Howard Buckwalter,",Aeolic lyrics,,random,0
uc2.ark+=13960=t35140902,not,obscure,1863,0,m,uk,15434,0.423152409532,"Vaughan, Thomas,","Morah; or, The Indian wife;",,random,0
mdp.39015048709672,rev,known,1916,1873,m,uk,8180,0.759072039589,"De la Mare, Walter,","The listeners, and other poems",PMV,reviewed,1
loc.ark+=13960=t0qr5g21z,not,obscure,1902,0,,,12024,0.59897450574,"Haswin, Frances Rosina. [from old catalog]",Some songs and verses,,random,0
wu.89094594595,not,obscure,1891,0,f,fr,20649,0.659254788432,"Văcărescu, Elena,",The bard of the Dimbovitza,,random,0
nyp.33433066644851,rev,known,1916,1878,m,us,16762,0.679543899044,"Sandburg, Carl,",Chicago poems,PMV,"Norton, in-set",1
uc1.b3345658,rev,obscure,1912,0,f,uk,23102,0.634411905043,"Sweeny, Mildred M' Neal.","Men of no land, and other poems",PMV,reviewed,1
uc1.b182952,rev,known,1838,1745,m,uk,52110,0.364501964028,"Morris, Charles,",Lyra urbanica;,BM,reviewed,1
njp.32101067004133,not,obscure,1886,1816,m,uk,25649,0.449999068292,"Thom, Robert W.,",Poems and ballads,,random,0
uc2.ark+=13960=t1bk19943,not,obscure,1840,0,m,uk,31206,0.387205869762,"Landreth, Peter.",The poet: The infidel,,random,0
loc.ark+=13960=t6m046h55,not,obscure,1867,0,,,1252,0.293872683638,"[Cameron, Hugh]",The troublesome trio,,random,0
loc.ark+=13960=t5w671s6k,not,obscure,1861,1835,f,us,42642,0.54896377669,"Jones, Amanda Theodocia,","Ulah, and other poems",,random,0
loc.ark+=13960=t3cz3sw3f,not,obscure,1852,1820,f,us,21988,0.332338137404,"Truesdell, Helen.",Poems,,random,0
uc2.ark+=13960=t0dv1cw73,not,obscure,1891,0,m,,12568,0.540126068508,"Irvine, J. P.",The green leaf and the gray,,random,0
loc.ark+=13960=t3rv11c37,not,obscure,1889,1849,f,uk,5670,0.417175814564,"Culler, Lucy Yeend.",Violet,,random,0
uc2.ark+=13960=t05x2b429,not,obscure,1821,0,f,uk,30542,0.275693693292,"Garrington, Eliza.",Spiritual recreations in the chamber of affliction,,random,0
loc.ark+=13960=t0zp4md92,not,obscure,1863,1818,m,us,31705,0.438607619106,"Peterson, Henry,",Poems,,random,0
uc2.ark+=13960=t79s1pt8q,rev,known,1901,1834,m,us,14645,0.540108121268,"Webb, Charles Henry,",With lead and line along varying shores;,ATL,reviewed,1
loc.ark+=13960=t0qr59x0m,rev,obscure,1871,1847,m,us,28467,0.432889025439,"Fuller, Edwin W.",The angel in the cloud,ATL,reviewed,1
loc.ark+=13960=t46q2j373,not,obscure,1878,1842,f,us,17485,0.423125115014,"Jones, Julia Clinton.",Valhalla,,random,0
uva.x000169685,rev,known,1874,1820,m,uk,8049,0.415438086025,"Rankine, William John Macquorn,",Songs and fables,BM,reviewed,1
uc2.ark+=13960=t4pk0c98d,rev,known,1872,1811,m,uk,117966,0.555475768273,"Domett, Alfred,",Ranolf and Amohia,FR,reviewed,1
hvd.hxdflv,not,obscure,1840,1803,m,us,53687,0.315809562415,"Brown, J. Newton",Emily,,random,0
njp.32101068604063,rev,known,1885,1850,m,uk,9070,0.645890823402,"Stevenson, Robert Louis,",A child's garden of verses,FR,reviewed,1
loc.ark+=13960=t1zc8q99n,rev,known,1882,1835,f,us,21228,0.695089296799,"Spofford, Harriet Elizabeth Prescott,",Poems,ATL,reviewed,1
uc2.ark+=13960=t9q23x35j,rev,known,1865,1819,m,uk,25024,0.443423608817,"Capern, Edward,",Wayside warbles,FR,reviewed,1
mdp.39015039355337,rev,known,1831,1803,m,uk,68708,0.523965086501,"Lytton, Edward Bulwer Lytton,",The Siamese twins,ER,reviewed,1
uc2.ark+=13960=t5fb55w84,rev,known,1878,1837,m,uk,28770,0.713847004783,"Swinburne, Algernon Charles,","Poems and ballads, second series",FR,"Norton, in-set",1
uc1.b274679,rev,known,1860,1816,m,us,17307,0.538501156656,"Lowell, Robert,",Fresh hearts that failed three thousand years ago,ATL,reviewed,1
uc2.ark+=13960=t8gf0rg1p,not,obscure,1820,0,f,uk,18264,0.382928727335,"Grimstone, Mary Leman.","Zayda, a Spanish tale, in three cantos, and other poems, stanzas, and canzonets",,random,0
uc1.b183776,not,obscure,1882,1799,m,us,12125,0.422662899011,"Alcott, Amos Bronson,",Sonnets and canzonets,,random,0
uc1.32106001950101,rev,known,1870,1848,m,uk,43385,0.698948076127,"Rossetti, Dante Gabriel,",Poems,FR,"Norton, in-set",1
nyp.33433074846860,rev,known,1849,1812,m,uk,39755,0.558041328138,"Browning, Robert,",Poems,GrM,"Norton, in-set",1
mdp.39015055468584,not,obscure,1880,1846,f,uk,4231,0.531323190179,"Greenaway, Kate,",Under the window;,,random,0
loc.ark+=13960=t4hm64973,not,obscure,1846,0,m,us,15311,0.399638614056,"Plumer, Wm.",Lyrica sacra,,random,0
uc2.ark+=13960=t06w98f3m,not,obscure,1870,0,,,18682,0.259464726672,"Lochore, G.",Poetical recreation,,random,0
loc.ark+=13960=t2891sf2m,rev,known,1886,1835,f,us,11622,0.647636704227,"Thaxter, Celia,","The cruise of the Mystery, and other poems",ATL,reviewed,1
uc1.b155380,rev,known,1867,1834,m,us,23470,0.532650562113,"Arnold, George,",Poems grave and gay,WR,reviewed,1
loc.ark+=13960=t5cc1sf60,not,obscure,1840,0,m,us,4669,0.328647174615,"Page, Theophilus. [from old catalog]",Heavenly musing;,,random,0
loc.ark+=13960=t9w09kt0j,rev,known,1878,1844,m,us,7165,0.648184882752,"Gilder, Richard Watson,",The poet and his master,ATL,reviewed,1
uc2.ark+=13960=t2z31pm6p,rev,known,1841,1791,f,us,51295,0.426518887462,"Sigourney, L. H.","Pocahontas, and other poems",GrM,reviewed,1
nyp.33433074931332,not,obscure,1864,1800,m,uk,15037,0.562973941818,"Taylor, Henry,",The poetical works,,random,0
njp.32101066458066,not,obscure,1845,1805,m,uk,82764,0.441661418261,"Cooper, Thomas,",The purgatory of suicides,,random,0
mdp.39015003700393,rev,known,1893,1860,m,us,19661,0.658927329822,"Garland, Hamlin,",Prairie songs: being chants rhymed and unrhymed of the level lands of the great West,ATL,reviewed,1
loc.ark+=13960=t8df7d08p,rev,known,1893,1856,m,us,13366,0.578501258546,"Hayne, William Hamilton,",Sylvan lyrics and other verses,ATL,reviewed,1
uc1.b167406,rev,known,1891,1865,m,us,23528,0.653549856374,"Cawein, Madison Julius,",Days and dreams,ATL,reviewed,1
uc2.ark+=13960=t0ft8gj1k,rev,known,1918,1889,m,uk,14806,0.623771609709,"Faber, Geoffrey,",In the valley of vision,EGO,reviewed,1
uc2.ark+=13960=t8v984f2b,rev,known,1837,1806,f,uk,22492,0.405949350747,"Stuart-Wortley, Emmeline,",Fragments and fancies,QR,reviewed,1
loc.ark+=13960=t40s0mt4z,rev,known,1914,1860,f,us,25210,0.608247939799,"Monroe, Harriet,",You and I,EGO,reviewed,1
uc1.b3340220,rev,known,1918,1879,f,uk,6552,0.536512186883,"Nightingale, M.",Verses wise and otherwise,EGO,reviewed,1
loc.ark+=13960=t81k00b4k,not,obscure,1887,0,f,,10728,0.277108956987,"Teske, T. Alcliffe.",Heart echoes,,random,0
uc2.ark+=13960=t5h990m69,rev,known,1901,1875,f,us,18555,0.69196406855,"Branch, Anna Hempstead,",The heart of the road,ATL,reviewed,1
loc.ark+=13960=t9r21qp19,rev,known,1875,1844,m,us,8742,0.681800849119,"Gilder, Richard Watson,",The new day,ATL,reviewed,1
loc.ark+=13960=t3805w074,rev,known,1880,0,f,,27179,0.564961269457,"Backus, Elizabeth Welch.",Three friends' fancies,ATL,reviewed,1
uc2.ark+=13960=t4gm84g69,not,obscure,1895,1840,f,us,13772,0.439994107335,"Cocke, Zitella,",A Doric reed,,random,0
nyp.33433066601869,not,obscure,1911,1848,m,us,21244,0.468954987074,"Hough, Alfred J.",Egyptian melodies,,random,0
nyp.33433074907142,rev,known,1847,1799,f,uk,52680,0.557629853483,"Howitt, Mary Botham,",Ballads and other poems,WR,reviewed,1
uc2.ark+=13960=t06w9c11h,rev,known,1869,1835,m,uk,10491,0.483578479211,"Garnett, Richard,",Idylls and epigrams,FR,reviewed,1
uc2.ark+=13960=t9f47r02d,not,obscure,1868,1850,m,uk,7979,0.446911088995,"Earle, John Charles,",Maximilian,,random,0
loc.ark+=13960=t9f48bc94,not,obscure,1882,0,f,,102305,0.241175071241,"Seibert, John.",The morning star,,random,0
uc2.ark+=13960=t4kk99f3f,rev,known,1858,1819,m,uk,20714,0.611656378858,"Kingsley, Charles,",Andromeda and other poems,WR,"Norton, in-set",1
uc2.ark+=13960=t8bg2n21x,rev,known,1889,1861,f,uk,7864,0.659530414944,"Levy, Amy,",A London plane-tree,BM,reviewed,1
nyp.33433066626502,not,obscure,1881,1841,f,us,23422,0.470805990778,"Oberholtzer, Sara Louisa,",Come for Arbutus,,random,0
nyp.33433082128426,not,obscure,1893,1867,m,us,31791,0.389372819322,"Currie, George G.",How I once felt,,random,0
nyp.33433075742266,rev,known,1883,1844,m,us,8610,0.685577914509,"Thompson, Maurice,",Songs of fair weather,ATL,reviewed,1
nyp.33433066650874,rev,known,1912,1876,m,us,22359,0.597683152696,"Leonard, William Ellery,",The vaunt of man;,PMV,reviewed,1
uc2.ark+=13960=t45q4rv9v,rev,known,1853,1829,m,uk,34325,0.656223260389,"Smith, Alexander,",Poems,ER,reviewed,1
loc.ark+=13960=t77s88w2s,rev,known,1902,1857,f,us,6848,0.69090525145,"Wetherald, A. Ethelwyn.",Tangled in stars;,ATL,reviewed,1
mdp.39015008529144,not,obscure,1915,1887,m,uk,23770,0.719190437753,"Brooke, Rupert,",The collected poems of Rupert Brooke,,"Norton, in-set",0
njp.32101064713173,not,obscure,1880,1843,m,us,11031,0.451560938262,"Selden, Samuel,",Poems,,random,0
loc.ark+=13960=t0ms46c3p,not,obscure,1914,1876,m,us,9739,0.359147335437,"Maxwell, George Madison,","Bare-foot days, and other poems",,random,0
loc.ark+=13960=t3029c41j,rev,known,1914,1873,m,us,15962,0.600329505471,"Clarke, George Herbert,",At the shrine,PMV,reviewed,1
uc2.ark+=13960=t6k070h7g,rev,known,1918,1881,f,uk,8729,0.68490789545,"Farjeon, Eleanor,",Sonnets and poems,EGO,reviewed,1
mdp.39015063753589,rev,known,1880,1832,m,uk,39898,0.594202834604,"Arnold, Edwin,",Poems,ATL,reviewed,1
mdp.39015063940111,rev,known,1894,1845,m,uk,14571,0.640209431751,"Lee-Hamilton, Eugene.",Sonnets of the wingless hours,ATL,reviewed,1
njp.32101068138765,rev,known,1844,1806,f,uk,37594,0.616534961598,"Browning, Elizabeth Barrett,",A drama of exile,WR,"Norton, in-set",1
uc2.ark+=13960=t0ht2j42v,rev,known,1914,1894,m,uk,4039,0.73629189561,"Rodker, John,",Poems,EGO,reviewed,1
uc1.b166356,not,obscure,1866,1822,m,uk,78492,0.531299528947,"Leighton, Robert,",Poems,,random,0
uc2.ark+=13960=t56d5wq45,rev,known,1902,1866,f,uk,19873,0.621837839053,"MacManus, Anna,",The four winds of Eirinn,FR,reviewed,1
uc2.ark+=13960=t1ng4vw28,rev,known,1866,1825,m,uk,74785,0.54023441317,"Stigand, William,",Anthea,WR,reviewed,1
nyp.33433076026321,not,obscure,1846,0,m,us,50891,0.380395888541,"White, Albert.","Sacred poems, poems of love & romance, humorous and narrative poems",,random,0
loc.ark+=13960=t85h8fd4f,not,obscure,1916,1848,m,us,19835,0.31427963977,"White, Charles Edward,",Poems of school and life,,random,0
nyp.33433074800131,rev,known,1911,1883,f,us,10627,0.509049358967,"Wilkinson, Marguerite Ogden Bigelow,",In vivid gardens; songs of the woman spirit,PMV,reviewed,1
mdp.39015030756970,rev,known,1914,1874,f,us,27569,0.674970220234,"Lowell, Amy,",Sword blades and poppy seed,EGO,"Norton, in-set",1
njp.32101067632925,not,obscure,1873,1840,m,uk,24077,0.641461749838,"Dobson, Austin,",Vignettes in rhyme and vers de société (now first collected),,random,0
wu.89099777773,not,obscure,1883,1835,m,us,47970,0.510695521141,"Croffut, W. A.",A midsummer lark,,random,0
uc2.ark+=13960=t6vx09698,not,obscure,1882,1820,f,us,18213,0.549630378538,"Bailey, Urania Locke Stoughton,",Star-flowers,,random,0
uc2.ark+=13960=t21c1v39v,rev,known,1866,1807,m,us,4143,0.604323473869,"Longfellow, Henry Wadsworth,",Flower-de-luce,ATL,"Norton, in-set",1
loc.ark+=13960=t5q81t975,rev,known,1841,1809,m,us,19855,0.29398035106,"Earle, Pliny",Marathon,GrM,reviewed,1
uc1.b3556169,rev,known,1861,1808,f,uk,18288,0.580215717793,"Norton, Caroline Sheridan,",The lady of La Garave,WR,reviewed,1
nyp.33433075790711,not,obscure,1914,1873,m,us,12686,0.38097984955,"Fisher, Benjamin Franklin,",Life harmonies,,random,0
loc.ark+=13960=t4nk3w21x,rev,obscure,1873,0,,,44061,0.456031167755,"Colman, James F.","The knightly heart, and other poems",ATL,reviewed,1
mdp.39015063937810,not,obscure,1871,1851,m,uk,32972,0.518411634138,"Mackay, Eric,",Love letters of a violinist,,random,0
uc2.ark+=13960=t2h70bw5m,not,obscure,1851,1813,m,us,25699,0.38164827821,"Tuckerman, Henry T.",Poems,,random,0
loc.ark+=13960=t13n30w9p,not,obscure,1917,1888,f,us,9111,0.503388992553,"Andrews, Edith Fargo.",Vagrant visions,,random,0
uc2.ark+=13960=t3kw59z20,rev,known,1902,1865,m,us,11385,0.687287021379,"Cawein, Madison Julius,",A voice on the wind,ATL,reviewed,1
nyp.33433082501119,not,obscure,1902,0,,,13723,0.451864099668,"Molina, Julia Wolff.","Mingled sweets and bitters; or, My legacy",,random,0
nyp.33433074962709,not,obscure,1860,1824,m,us,40077,0.432543530767,"Valentine, Mann Satterwhite,",The mock auction,,random,0
uc2.ark+=13960=t42r3t80r,rev,known,1873,1830,m,uk,18253,0.514158079832,"Brown, T. E.",Betsy Lee,ATL,reviewed,1
loc.ark+=13960=t1cj8vs53,not,obscure,1902,1840,f,us,5145,0.413240068879,"Welsh, Mary Elizabeth,",Kapiolani;,,random,0
uc1.b4100432,not,obscure,1907,1864,m,us,31249,0.506610308418,"Eilshemius, Louis M.",All about girls,,random,0
loc.ark+=13960=t0tq6s38g,not,obscure,1913,1877,m,us,14213,0.542795616803,"Malloch, Douglas.",The woods,,random,0
uc2.ark+=13960=t7dr2r59g,not,obscure,1828,1766,f,uk,5176,0.341079761653,"Watts, Susanna,",The insects in council,,random,0
nnc1.0043351883,rev,known,1820,1787,m,uk,23918,0.591261241165,"Cornwall, Barry,",A Sicilian story,ER,reviewed,1
loc.ark+=13960=t6543bf6c,rev,known,1894,1862,m,us,11649,0.679776221529,"Rogers, Robert Cameron,",The wind in the clearing,ATL,reviewed,1
uc1.b255800,not,obscure,1877,0,f,uk,21351,0.445726581921,"Budge, Jane,",Poems.,,random,0
uc2.ark+=13960=t6057k293,not,obscure,1830,0,,uk,27261,0.354149174497,anonymous9,Sketches of bandit life;,,random,0
uc2.ark+=13960=t1cj8g26m,rev,known,1908,1871,m,uk,10692,0.610941082994,"Davies, W. H.",Nature poems and others,FR,reviewed,1
nyp.33433066649108,rev,known,1887,1831,f,us,15925,0.627649633797,"Perry, Nora,",New songs and ballads,ATL,reviewed,1
nyp.33433082171996,not,obscure,1880,1836,m,us,37809,0.305068849095,"Goddard, Sextus P.","Buds, briars and berries",,random,0
loc.ark+=13960=t55d9m11n,not,obscure,1881,1821,m,us,15434,0.291517929512,"Eckerson, Theodore John.",When my ship comes in,,random,0
nyp.33433074903737,not,obscure,1892,1839,m,au,29892,0.285643637921,"Yarrington, W. H. H.",Australian verses,,random,0
uc1.b3810610,rev,known,1907,1881,m,uk,4770,0.652283035496,"Colum, Padraic,",Wild earth;,TNA,reviewed,1
loc.ark+=13960=t7xk8wp35,not,obscure,1835,1812,m,us,2455,0.236729563348,"Patterson, Stephen,",The contrast,,random,0
nyp.33433075808877,not,obscure,1901,1862,m,us,18480,0.406315316026,"McMahon, Patrick Maurice,",From fair Hawaiiland;,,random,0
loc.ark+=13960=t50g4bb04,not,obscure,1900,0,,,4198,0.291835880314,"Dickson, William Bradford. [from old catalog]",Psalms of soul,,random,0
mdp.39015063931565,rev,known,1845,1813,m,us,17984,0.525421056981,"Hirst, Henry Beck,",The coming of the mammoth,GrM,reviewed,1
uc1.b274870,rev,known,1829,1808,f,us,25036,0.373965068018,"Davidson, Lucretia Maria,","Amir Khan, and other poems",QR,reviewed,1
uc2.ark+=13960=t09w0f810,not,obscure,1825,0,f,uk,12718,0.274473982176,"Cursham, Mary Anne.",Martin Luther,,random,0
loc.ark+=13960=t20c5hr60,not,obscure,1858,1800,m,us,66811,0.27777040321,"Cotton, Alfred Jackson,",Cotton's keepsake,,random,0
loc.ark+=13960=t5r78vm8q,not,obscure,1866,0,,,9422,0.271359380784,"Almy, Annie Whittier.",Early poems,,random,0
uc1.b182492,not,obscure,1893,1822,m,us,15885,0.435566306554,"Hale, Edward Everett,",For fifty years;,,random,0
uc2.ark+=13960=t9m32rn84,not,obscure,1872,0,,,15058,0.500226557691,"Pocock, I. J. Innes.",Franklin and other poems,,random,0
uc2.ark+=13960=t6g160f1q,not,obscure,1881,1806,m,uk,54982,0.310885454012,"Thomson, David,",Musings among the heather,,random,0
uc2.ark+=13960=t1zc7s42g,rev,known,1887,1857,f,us,11670,0.656540198763,"Deland, Margaret Wade Campbell,",Old garden & other verses,ATL,reviewed,1
mdp.39015063920428,not,obscure,1887,1828,f,us,29835,0.273465523908,"Kail, Mary E.,",Crown our heroes,,random,0
